uni,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Princeton,1,1,1,2,1,2,1,1,1,1,1
Harvard,1,2,2,1,1,1,1,1,2,2,2
Yale,3,3,3,3,3,3,3,3,3,3,3
Penn,4,7,5,6,4,5,5,8,7,8,9
Columbia,9,9,9,8,8,4,4,4,4,4,4
Dartmouth,9,9,11,11,11,9,11,10,10,11,12
Brown,15,15,14,16,16,15,15,15,14,16,14
Cornell,13,12,12,14,15,15,15,15,16,15,15
